STS8200 StationA
Date:2025-09-15
Tester ID:
User:admin
Program:C:\Users\CTOS\Desktop\250915-1\MT8952NSLR_XB18_00_FT_EWT\MT8952NSLR_XB18_00_FT_EWT.pgs
Handler: vhandler.dll
Site: All Sites
Lot Id:

Average Test Time(ms): 2935
Idle Time: 0 day 0:1:35
Beginning Time: 2025-09-15 ¤U¤È 02:21:57
Ending Time: 2025-09-15 ¤U¤È 02:25:10
Total Testing Time: 0 day 0:1:36

Total: 33
Pass: 33   100.00%
Fail: 0   0.00%
SBin[1]   Pass__Default                  33   100.00%   1
SBin[4]   Fail__Default                   0     0.00%   4

 
 
SITE_NUM,PART_ID,PASSFG,SOFT_BIN,T_TIME,TEST_NUM,SiteCheck,preVIN,preSW,preBST,preEN,preFB,preSWVIN,IINSD,IINQ,RdsON_HS,HRON_VIN,HRON_SW,RdsON_LS,LSRON_VIN,LSRON_SW,IPK,IPK1,I,VSW_IPK,VIN_IPK,IEN5V,IPKREF0,IPKREF,IPK0,VIN_IPK0,VSW_IPK0,RIPK,HSLEAK,LSLEAK,VREF,IFB,TSS,VENON,VENOFF,VENHys,IENH,IENL,VinUVLOH,VinUVLOL,VinUVLOHYS,VinOVPH,VinOVPL,VinOVPHYS,VBSTOK_H,VBSTOK_L,VBSTOK_Hys,postVIN,postSW,postBST,postEN,postFB,postSWVIN,
Unit,,,,ms,,V,V,V,V,V,V,V,uA,uA,mohm,V,V,mohm,V,V,A,A,A,,V,uA,uA,uA,A,,,X,nA,nA,mV,nA,msec,V,V,mV,uA,nA,V,V,mV,V,V,mV,V,V,mV,V,V,V,V,V,V,
LimitL,,,,,,0.900,-0.7000,-0.7000,-0.7000,-1.0000,-1.6000,0.3000,0.0000,0.0000,10.0000,11.5000,11.5000,10.0000,11.5000,-0.5000,3.0000,,0.8000,,,,,,-0.4000,,,,0.0000,0.0000,776.0000,0.0000,0.5000,1.1100,1.0100,1.0000,1.0000,-1000.0000,3.6000,,100.0000,18.0000,17.0000,1000.0000,2.8500,2.5500,10.0000,-0.7000,-0.7000,-0.7000,-1.0000,-1.6000,0.3000,
LimitU,,,,,,1.100,-0.3500,-0.3500,-0.3500,-0.3500,-0.3500,0.6000,5.0000,350.0000,260.0000,12.5000,12.5000,130.0000,12.5000,0.5000,4.0000,,1.8000,,,,,,0.4000,,,,1000.0000,1000.0000,824.0000,50.0000,2.5000,1.3100,1.2100,300.0000,3.5000,1000.0000,4.2000,,600.0000,22.0000,21.0000,3000.0000,3.1500,2.8500,400.0000,-0.3500,-0.3500,-0.3500,-0.3500,-0.3500,0.6000,

1,1,True,1,2946,52,1.000,-0.4312,-0.4198,-0.5417,-0.7007,-1.5017,0.4320,2.3983,252.9786,129.1900,11.9988,11.9734,89.2225,11.9994,0.0176,3.4791,,1.0500,11.8577,12.0002,3.1292,34.7865,98.0738,0.0600,12.0000,11.9920,2.9991,12.7396,24.2836,810.8425,5.5072,1.6670,1.2199,1.1399,79.9990,1.6588,-3.2669,4.0298,3.6499,379.8569,20.6990,19.2965,1402.5491,2.9593,2.6695,289.7828,-0.4288,-0.4170,-0.5397,-0.6962,-1.4955,0.4297,
1,2,True,1,2933,52,1.000,-0.4310,-0.4193,-0.5414,-0.7000,-1.5007,0.4318,2.0244,252.9709,135.7158,11.9996,11.9722,87.7037,11.9991,0.0171,3.4806,,1.0500,11.8574,11.9994,3.1264,34.7709,98.0804,0.0600,11.9996,11.9914,3.0006,15.6622,21.7411,810.8768,5.9146,1.6731,1.2199,1.1398,80.0715,1.6579,-0.7792,4.0297,3.6499,379.8693,20.6980,19.2873,1410.7114,2.9594,2.6695,289.8760,-0.4285,-0.4167,-0.5395,-0.6959,-1.4950,0.4296,
1,3,True,1,2934,52,1.000,-0.4302,-0.4185,-0.5407,-0.6985,-1.4986,0.4309,2.2457,252.5513,126.4918,11.9985,11.9739,82.3670,11.9995,0.0170,3.4802,,1.0500,11.8573,11.9996,3.1307,34.7740,98.0683,0.0600,11.9996,11.9908,3.0002,19.7920,14.1136,810.8384,3.5044,1.6660,1.2199,1.1399,79.9834,1.6616,3.5742,4.0297,3.6500,379.6184,20.6984,19.3018,1396.5799,2.9592,2.6694,289.7983,-0.4281,-0.4166,-0.5394,-0.6954,-1.4943,0.4293,
1,4,True,1,2933,52,1.000,-0.4312,-0.4196,-0.5417,-0.7007,-1.5018,0.4322,2.2991,254.1918,128.4135,12.0004,11.9740,83.8935,12.0003,0.0170,3.4818,,1.0500,11.8578,12.0004,3.1264,34.7585,98.0791,0.0600,11.9993,11.9913,3.0018,21.1897,28.0973,810.8498,3.0106,1.6591,1.2199,1.1399,79.9834,1.6585,2.0194,4.0297,3.6500,379.6948,20.6986,19.2993,1399.3260,2.9595,2.6696,289.8139,-0.4285,-0.4170,-0.5397,-0.6962,-1.4955,0.4300,
1,5,True,1,2933,52,1.000,-0.4296,-0.4182,-0.5404,-0.6978,-1.4976,0.4307,1.9710,253.3067,128.4062,12.0002,11.9737,85.8157,12.0000,0.0173,3.4799,,1.0500,11.8566,11.9995,3.1360,34.7896,98.0919,0.0600,11.9992,11.9908,2.9999,19.3472,28.7329,810.8322,2.8517,1.6792,1.2199,1.1399,79.9627,1.6669,-0.4683,4.0296,3.6499,379.7473,20.6981,19.3025,1395.5692,2.9595,2.6696,289.9227,-0.4284,-0.4166,-0.5393,-0.6954,-1.4944,0.4292,
1,6,True,1,2933,52,1.000,-0.4292,-0.4179,-0.5401,-0.6970,-1.4965,0.4301,1.8794,254.2605,128.4281,11.9995,11.9732,86.9571,12.0000,0.0180,3.4809,,1.0500,11.8566,12.0005,3.1478,34.7834,98.0838,0.0600,11.9996,11.9914,3.0009,13.9468,40.8098,810.8664,5.4484,1.6632,1.2199,1.1399,80.0508,1.6650,-3.2669,4.0298,3.6498,379.9122,20.6979,19.3041,1393.7288,2.9593,2.6696,289.6895,-0.4281,-0.4164,-0.5392,-0.6951,-1.4939,0.4289,
